Solution Name - Buffer Size,50,75,100,125,150,175,200,225,250,275
2Q,0.048,0.065,0.009,0.0,0.004,0.002,0.0,0.0,0.002,0.002
Belady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LFU,0.059,0.07,0.031,0.023,0.02,0.013,0.014,0.012,0.006,0.005
LIRS,0.023,0.025,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRFU,0.057,0.07,0.041,0.025,0.023,0.015,0.016,0.011,0.007,0.006
LRU,0.04,0.035,0.007,0.003,0.003,0.001,0.001,0.002,0.002,0.001
LRU-2,0.016,0.013,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQ,0.015,0.011,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaiveLRU,0.023,0.032,0.029,0.027,0.029,0.037,0.033,0.031,0.031,0.033
